id1;lat;lng;google address
CSO  BUENOS AIRES 51 
CSO  BUENOS AIRES 8 
CSO  BUENOS AIRES 2 
CSO  BUENOS AIRES 54 
VLE  MARCHE 63 
CSO  BUENOS AIRES 55 
LGO  RICHINI FRANCESCO 1 
VIA  DE ANGELI CARLO 1 
VIA  DEI CROLLALANZA 4 
VIA  EDOLO 26 
VIA  MEUCCI ANTONIO 41 
CSO  BUENOS AIRES 63 
CSO  BUENOS AIRES 64 
VIA  SODERINI LUIGI 48 
VIA  CONFALONIERI FEDERICO 34 
CSO LODI 98 
VLE  TESTI FULVIO 22 
VLE  TESTI FULVIO 29 
VIA  SANT' ARNALDO 26 
VIA  DOGANA 2 
VIA  DOGANA 4 
VIA  PECCHIO GIUSEPPE 10 
VLE  VIGLIANI PAOLO ONORATO 59 
CSO  BUENOS AIRES 36 
VIA  SODERINI LUIGI 54 
CSO  BUENOS AIRES 39 
CSO  BUENOS AIRES 33 interno 35
CSO  BUENOS AIRES 35 
BST  DI PORTA VOLTA 7 
VIA  CORRENTI CESARE 10 
VIA  ORNATO LUIGI 28 
VIA  PORTA CARLO 1 
CSO  BUENOS AIRES 41 
PZA  ARGENTINA 4 
PZA  SIGMUND FREUD 1 
PZA  CORDUSIO 2 
VIA  CICOGNARA LEOPOLDO 2 
VIA CUSAGO 196 
VLE  MARCHE 97 
VIA  CEFALU' 2 
VIA  SORESINA GIOVANNI BATTISTA 14 
VIA  CAPECELATRO ALFONSO 9 
PZA  SAN BABILA 1 
VIA  VERDI GIUSEPPE 2 
VIA  ZANELLA GIACOMO 61 
PZA CINQUE GIORNATE 1 interno A
VIA  CANONICA LUIGI 55 
VIA  CANONICA LUIGI 54 
VIA  LOMELLINA 1 
VIA  ENNIO 6 
VIA  FRIULI 16 
VIA  CAGLIERO GIOVANNI 14 interno A
VIA  VAL DI SOLE 12 
CSO  VITTORIO EMANUELE II 11 
VLE  UNGHERIA 12 
CSO  VITTORIO EMANUELE II 13 
PZA  SAN BABILA 5 
VLE  PAPINIANO 16 
VIA  SAN GREGORIO 1 
CSO  MATTEOTTI GIACOMO 14 
CSO  MATTEOTTI GIACOMO 12 
CSO  MATTEOTTI GIACOMO 11 
CSO  MATTEOTTI GIACOMO 10 
VIA  CATULLO 8 
GLL  UNIONE 4 
GLL  UNIONE 1 
VIA  DELLA FERRERA 18 
CSO  MATTEOTTI GIACOMO 18 
GLL  DEL CORSO 2 
GLL  DEL CORSO 4 
VIA  MAESTRI CAMPIONESI 7 
VIA  PELLINI EUGENIO 3 
VIA  AOSTA 6 
CSO  BUENOS AIRES 75 
CSO  LODI 9 
VIA  BAGUTTA 2 
VLE  PICENO 19 
VIA  GIOVANNI DA UDINE 3 
CSO  VITTORIO EMANUELE II 37 interno B
VIA  CACCIATORI BENEDETTO 12 
CSO  LODI 6 
CSO  VITTORIO EMANUELE II 30 
CSO  INDIPENDENZA 24 
VIA  RONCHI 2 
VIA  CEFALONIA 10 
VLE  SABOTINO 6 
GLL  SAN CARLO 6 
VLE  SABOTINO 4 
CSO  VITTORIO EMANUELE II 28 
VLE  ORTLES 7 
CSO  VITTORIO EMANUELE II 22 
CSO  VITTORIO EMANUELE II 24 
VIA  FALLOPPIO GABRIELE 11 
VLE  UMBRIA 126 
VIA  MANZONI ALESSANDRO 12 
CSO  MONFORTE 2 
VLE  TESTI FULVIO 90 
VIA  DON RODRIGO 7 
VIA  MONVISO 34 
VIA  LESMI 7 
VIA  NOVARA 127 
